GT_heading_tertile,checkpoint,pairwise_ade,spread_auc,spread_ratio_il,center_shift_from_il,D_positive,hit8_1,feasible_rate,mean_pdms,compressed,strongly_compressed,hit8_delta_IL,mean_pdms_delta_IL,n_scenes,median_SR
high,apr_9145,0.19120876303598683,0.15646286525026926,1.3049754535068443,0.7627344170730271,0.200449645472101,0.43637724550898205,0.920939371257485,95.96308975838836,0.08982035928143713,0.0,0.25898203592814373,4.169968870786001,334,1.2766293099080308
high,grpo_9041,0.17102135475743752,0.14133500571053337,1.1755038314363002,0.5708858450640462,0.17190545057191656,0.4030688622754491,0.9017589820359282,95.40997424802339,0.059880239520958084,0.0,0.2256736526946108,3.616853360421016,334,1.1618443629927127
high,mts_8692,0.10859735481943254,0.1260783839879867,1.0066930554959654,0.4342613942073491,0.10903341624026111,0.17964071856287425,0.9203312125748503,93.34771173599992,0.7305389221556886,0.5838323353293413,0.002245508982035928,1.554590848397558,334,0.45709810057313394
high,mts_8751,0.08109753439273494,0.08757395406005099,0.7415696031953879,0.4591062052878077,0.15301920826497828,0.23914670658682635,0.9154659431137725,93.68580973579422,0.8532934131736527,0.7245508982035929,0.061751497005988025,1.8926888481918522,334,0.40685190119373776
high,official_il,0.14771436784813885,0.12159038036893281,1.0,0.0,0.12052533434840233,0.17739520958083832,0.8909524700598802,91.79312088760237,0.0,0.0,0.0,0.0,334,1.0
low,apr_9145,0.15342990435602324,0.12973468141743708,1.1372148838418967,0.6679714078659768,0.1625866816447885,0.3588588588588589,0.9875656906906907,95.08535952380339,0.29429429429429427,0.003003003003003003,-0.0472972972972973,1.299637103569365,333,1.104238495470327
low,grpo_9041,0.159019198836056,0.13706648700843965,1.202447468576003,0.4281837392945189,0.16134622680215996,0.40765765765765766,0.9857357357357357,95.37654708547134,0.06006006006006006,0.0,0.0015015015015015015,1.5908246652373148,333,1.1682781947804302
low,mts_8692,0.0743044300651587,0.07505301812571664,0.6590879067047384,0.36662991342691326,0.09541712985341004,0.253003003003003,0.9955424174174174,94.19668844034344,0.8438438438438438,0.4984984984984985,-0.15315315315315314,0.4109660201094012,333,0.50219347438669
low,mts_8751,0.07656062492475837,0.08258483103997796,0.726078309341295,0.4700740064094375,0.13179540331631695,0.2852852852852853,0.99878003003003,94.63309102475388,0.8708708708708709,0.6006006006006006,-0.12087087087087087,0.847368604519855,333,0.4585090541599497
low,official_il,0.13457684938113598,0.11699162877357801,1.0,0.0,0.11014002187240524,0.40615615615615613,0.9832488738738738,93.78572242023402,0.0,0.0,0.0,0.0,333,1.0
medium,apr_9145,0.20455540970133865,0.1720594025369077,1.3584140961775124,0.996894713994619,0.2115311234621173,0.6448948948948949,0.9619932432432432,95.0156549606242,0.09309309309309309,0.0,0.37424924924924924,4.129285170734113,333,1.3083859886200806
medium,grpo_9041,0.18139324081862843,0.15366173537997319,1.2102552575903949,0.5031970312466493,0.1791633198969066,0.603978978978979,0.9517173423423423,94.38681891882962,0.03003003003003003,0.0,0.3333333333333333,3.5004491289395405,333,1.2078889852541683
medium,mts_8692,0.06918883400914712,0.06901634138536547,0.5513933128558397,0.4368310490841264,0.07366588906281521,0.22672672672672672,0.9871433933933934,93.59846322532188,0.9069069069069069,0.6576576576576577,-0.04391891891891892,2.712093435431802,333,0.4071598506452916
medium,mts_8751,0.09277999446410883,0.12854389409242445,1.0665863717515272,0.4740297302894585,0.2671699492070316,0.2894144144144144,0.9888325825825826,94.231306814087,0.8018018018018018,0.6636636636636637,0.01876876876876877,3.3449370241969176,333,0.4233833267151553
medium,official_il,0.15206935282291945,0.1282261084796446,1.0,0.0,0.12432720450063542,0.27064564564564564,0.9440221471471472,90.8863697898901,0.0,0.0,0.0,0.0,333,1.0
