checkpoint,SR_bin,pairwise_ade,spread_auc,spread_ratio_il,center_shift_from_il,D_positive,hit8_1,feasible_rate,mean_pdms,compressed,strongly_compressed,hit8_delta_IL,mean_pdms_delta_IL,n_scenes
mts_8692,"[0.0, 0.25)",0.0412467479061005,0.0348046800400843,0.2353091632150345,0.7502935100346804,0.0422954559326171,0.25,1.0,95.17709921042727,1.0,1.0,0.0,23.039791116205322,4
mts_8692,"[0.25, 0.5)",0.054550359906982954,0.046872242850758125,0.3793482823336857,0.4008610835428246,0.05412688734821779,0.1853298611111111,0.9769151475694444,94.31216324702893,1.0,1.0,-0.06141493055555555,1.9185399651218826,576
mts_8692,"[0.5, 1.0)",0.07629891348843412,0.07640880562743643,0.6610172067813799,0.40098595302476575,0.07829214228938018,0.2565789473684211,0.9790612348178138,94.1908740400766,1.0,0.0,-0.10981781376518218,1.5784309648974888,247
mts_8692,"[1.0, 2.0)",0.12157392839867819,0.1676944886558084,1.4067086772287314,0.4114811441919825,0.15301565840267214,0.34572072072072074,0.9596002252252253,90.60914096846459,0.0,0.0,-0.04054054054054054,1.0557616554083709,111
mts_8692,"[2.0, inf)",0.32464905587889065,0.4106545667130541,3.233289776207611,0.5480759777128696,0.32203256369878847,0.16532258064516128,0.8480342741935484,91.72010099938169,0.0,0.0,0.034274193548387094,-2.340129587016608,62
mts_8751,"[0.0, 0.25)",0.049332127720094876,0.0416380634509613,0.22605980735289544,0.4215748831629753,0.0494994521141052,0.25,0.75,93.21323639899325,1.0,1.0,-0.5,-0.508997043173057,4
mts_8751,"[0.25, 0.5)",0.05588583811671642,0.047532138640476417,0.38212141763623375,0.4350151482896034,0.05670378567567958,0.2094081942336874,0.9590051213960546,95.58136263107349,1.0,1.0,0.007207890743550834,2.2973450192041898,659
mts_8751,"[0.5, 1.0)",0.07393668936762693,0.07318498050893589,0.6473246292139903,0.4630317499850715,0.07711895782914421,0.3191340782122905,0.9828910614525139,92.80693795850684,1.0,0.0,-0.09217877094972067,0.8065181903006073,179
mts_8751,"[1.0, 2.0)",0.12353214080115917,0.1723523399184974,1.448258168447059,0.5278047461118271,0.21337578556639078,0.42723880597014924,0.9848414179104478,90.78825480793982,0.0,0.0,-0.1044776119402985,1.314318371664533,67
mts_8751,"[2.0, inf)",0.2740613855317239,0.477116661776158,4.164999196749697,0.6716608065333995,0.7669353179939805,0.510989010989011,0.9970810439560439,89.30416533968344,0.0,0.0,0.08104395604395605,3.1192899253907975,91
