method,amplitude,original_PDMS,local_PDMS,PDMS_drop,feasible_rate,failure_rate,hard_failure_rate
gt_distance,0.05,98.16803508084517,97.80548034969756,0.3625547311476057,0.9751283212560388,0.024871678743961356,0.0036231884057971015
gt_distance,0.15,98.16803508084517,96.92134372082687,1.2466913600182972,0.964296497584541,0.03570350241545894,0.01169987922705314
gt_distance,0.3,98.16803508084517,94.41290612484487,3.755128956000314,0.9351222826086957,0.06487771739130437,0.0356280193236715
gt_distance,0.5,98.16803508084517,90.26990367959858,7.8981314012465855,0.8826992753623188,0.11730072463768115,0.07269021739130435
pareto,0.05,98.17916410737085,97.82998476388114,0.34917934348971086,0.9684103260869565,0.03158967391304348,0.0029815821256038645
pareto,0.15,98.17916410737085,97.02352549158543,1.1556386157854193,0.9570123792270532,0.04298762077294686,0.009510869565217392
pareto,0.3,98.17916410737085,94.84198340298289,3.3371807043879658,0.9307442632850242,0.06925573671497585,0.029815821256038644
pareto,0.5,98.17916410737085,91.11841050257796,7.060753604792893,0.8829257246376812,0.11707427536231885,0.06333031400966184
pc_mts,0.05,98.47970549402606,97.85606791651588,0.6236375775101781,0.9715428743961352,0.028457125603864736,0.004378019323671497
pc_mts,0.15,98.47970549402606,96.42027395109965,2.0594315429264154,0.9514643719806763,0.04853562801932367,0.01611564009661836
pc_mts,0.3,98.47970549402606,93.40741809012917,5.07228740389689,0.9156099033816425,0.08439009661835749,0.04378019323671497
pc_mts,0.5,98.47970549402606,88.51803086460664,9.961674629419429,0.8558272946859904,0.1441727053140097,0.08699426328502415
score,0.05,98.49121561472103,98.08004731229308,0.41116830242797153,0.9708257850241546,0.029174214975845412,0.0038118961352657
score,0.15,98.49121561472103,97.16115456262824,1.3300610520928058,0.9588239734299517,0.04117602657004831,0.01158665458937198
score,0.3,98.49121561472103,94.49134560985776,3.999870004863281,0.9285552536231884,0.0714447463768116,0.03694897342995169
score,0.5,98.49121561472103,90.16940502664261,8.321810588078439,0.873792270531401,0.12620772946859904,0.07438858695652174
