scope,model,protocol,scenes,groups,rollouts,pairwise_ADE,pairwise_ADE_median,pairwise_ADE_defined_scenes,pairwise_ADE64,pairwise_ADE64_median,pairwise_ADE64_defined_scenes,centroid_displacement,centroid_displacement_median,centroid_displacement_defined_scenes,feasible_rate,feasible_rate_median,feasible_rate_defined_scenes,mean_PDMS,mean_PDMS_median,mean_PDMS_defined_scenes,min_PDMS,min_PDMS_median,min_PDMS_defined_scenes,max_PDMS,max_PDMS_median,max_PDMS_defined_scenes,CVaR25_PDMS,CVaR25_PDMS_median,CVaR25_PDMS_defined_scenes,Spread_AUC,Spread_AUC_median,Spread_AUC_defined_scenes,hard_failure_rate,hard_failure_rate_median,hard_failure_rate_defined_scenes,zero_score_rate,zero_score_rate_median,zero_score_rate_defined_scenes,std_PDMS,std_PDMS_median,std_PDMS_defined_scenes,no_safe_group,no_safe_group_median,no_safe_group_defined_scenes,best_safe_PDMS,best_safe_PDMS_median,best_safe_PDMS_defined_scenes,Hit16,Hit16_median,Hit16_defined_scenes,GT_center_distance,GT_center_distance_median,GT_center_distance_defined_scenes,EP,EP_median,EP_defined_scenes,NC,NC_median,NC_defined_scenes,DAC,DAC_median,DAC_defined_scenes,TTC,TTC_median,TTC_defined_scenes,DDC,DDC_median,DDC_defined_scenes,Comfort,Comfort_median,Comfort_defined_scenes,centroid_abs_dx,centroid_abs_dx_median,centroid_abs_dx_defined_scenes,centroid_abs_dy,centroid_abs_dy_median,centroid_abs_dy_defined_scenes,centroid_endpoint_dx,centroid_endpoint_dx_median,centroid_endpoint_dx_defined_scenes,centroid_endpoint_dy,centroid_endpoint_dy_median,centroid_endpoint_dy_defined_scenes,CRN_policy_shift,CRN_policy_shift_median,CRN_policy_shift_defined_scenes
FULL5000,official_il,eval,5000,20000,320000,0.1454849284160882,0.1431022100150585,5000,0.1454736822932958,0.1433551833033561,5000,0.0,0.0,5000,0.9313125,1.0,5000,91.41399358942084,95.16477941774514,5000,87.8745588717968,93.92782762442393,5000,93.76646382375252,96.84104209408162,5000,89.10442312970808,94.3313197012614,5000,0.12170899140127,0.1194975301623344,5000,0.02833125,0.0,5000,0.027796875,0.0,5000,2.1758741818804475,0.3086942024098678,5000,0.04385,0.0,5000,95.46994471316356,97.24155844515695,4802,0.27915,0.0,5000,0.3792696193292685,0.2872319552999475,5000,85.27389647603806,89.91282332964009,5000,99.50765625,100.0,5000,97.6359375,100.0,5000,97.45125,100.0,5000,98.3928125,100.0,5000,99.9825,100.0,5000,0.0,0.0,5000,0.0,0.0,5000,0.0,0.0,5000,0.0,0.0,5000,0.0,0.0,5000
FULL5000,official_il,native_grpo,5000,20000,320000,1.9938799260556697,1.9937003552913664,5000,1.9937206166028976,1.992979347705841,5000,0.0,0.0,5000,0.692465625,0.734375,5000,69.01966745063118,73.91619256381756,5000,22.1145911799808,9.712887473674153,5000,96.68466769237403,99.11452044064566,5000,35.7999410268906,34.8898795447882,5000,1.5958393235206605,1.5961320400238037,5000,0.18354375,0.09375,5000,0.17885625,0.09375,5000,27.17041268211848,28.235994402552567,5000,0.0191,0.0,5000,96.91590266967631,99.10331081038096,4934,0.55345,0.75,5000,0.4455259104726052,0.3537968920306427,5000,70.65350405533015,73.30739139800744,5000,95.35421875,100.0,5000,85.81375,98.4375,5000,83.6309375,92.1875,5000,97.054375,100.0,5000,69.0715625,70.3125,5000,0.0,0.0,5000,0.0,0.0,5000,0.0,0.0,5000,0.0,0.0,5000,0.0,0.0,5000
FULL5000,original_grpo_11970,eval,5000,20000,320000,0.1715260140722617,0.1688238643109798,5000,0.1714870934084058,0.1688919514417648,5000,0.5014130663484335,0.4674235135316849,5000,0.946534375,1.0,5000,94.79779301755194,98.36843577128305,5000,93.72894030997132,97.39293853862809,5000,95.6716765145989,99.28534289615672,5000,94.0942681815388,97.72092069045787,5000,0.1435505867168307,0.1409767344594001,5000,0.01045,0.0,5000,0.01045,0.0,5000,0.6568868814914262,0.2389929029920322,5000,0.04185,0.0,5000,96.65816089545504,99.54224924142716,4807,0.48845,0.25,5000,0.6477547661635965,0.5765090279649403,5000,90.03520324212467,96.4418858080364,5000,99.5384375,100.0,5000,99.3965625,100.0,5000,98.445,100.0,5000,97.47625,100.0,5000,100.0,100.0,5000,0.4394682894423604,0.4062187671661377,5000,0.1619260269813239,0.1403968632221222,5000,0.2999324353575706,0.2863585948944092,5000,-0.1030008207678794,-0.0607785433530807,5000,0.5041449470579624,0.470655083656311,5000
FULL5000,original_grpo_11970,native_grpo,5000,20000,320000,1.9937217535555365,1.9953487664461136,5000,1.9935812705516816,1.9940977096557615,5000,0.4997064854994416,0.4693946540355682,5000,0.77264375,0.84375,5000,78.85324811181472,82.7477360072418,5000,31.33626449437896,27.48046286957804,5000,97.7709665631994,100.0,5000,50.17861346864236,54.88117870471454,5000,1.5957109128475189,1.5971956849098206,5000,0.09416875,0.046875,5000,0.0913375,0.03125,5000,22.112639623837424,21.19745631705636,5000,0.0199,0.0,5000,97.93154526698736,100.0,4929,0.5986,1.0,5000,0.6718484987541815,0.6018680273667779,5000,81.36489655641631,85.67757641582665,5000,96.77796875,100.0,5000,93.6628125,100.0,5000,87.2834375,93.75,5000,95.53546875,100.0,5000,70.726875,71.875,5000,0.4369856048643589,0.4065890610218048,5000,0.1639366674367338,0.1421053409576416,5000,0.3002453577876091,0.2852449417114258,5000,-0.1102497777402401,-0.0698388218879699,5000,0.510892639541626,0.4790340811014175,5000
FULL5000,psi_sft,eval,5000,20000,320000,0.3066304439239204,0.2933086268603802,5000,0.3065875323146582,0.2935723960399627,5000,0.4294946530431509,0.3888681083917618,5000,0.917246875,1.0,5000,92.1051916304901,96.73650323962102,5000,85.80473169006449,94.77650267082151,5000,95.7302237873953,99.2765906384928,5000,88.46021379755929,95.36350177995124,5000,0.2501404243141413,0.2389912158250808,5000,0.0353625,0.0,5000,0.033765625,0.0,5000,3.5115073961721164,0.5516744351495229,5000,0.0399,0.0,5000,97.22689885489446,99.53440546266332,4829,0.5628,1.0,5000,0.5790329006094357,0.4977467423709834,5000,88.34695861121907,93.91219718937398,5000,99.18984375,100.0,5000,97.2921875,100.0,5000,96.60125,100.0,5000,98.039375,100.0,5000,99.9946875,100.0,5000,0.3958126331403852,0.3507461547851562,5000,0.1042720480538904,0.0696269199252128,5000,0.4049201777786016,0.3888006210327148,5000,-0.0320757610619068,-0.0290966928005218,5000,0.4613296937659383,0.4182860106229782,5000
FULL5000,psi_sft,native_grpo,5000,20000,320000,2.2546095109462736,2.2546935975551605,5000,2.2543711416721344,2.2540409564971924,5000,0.487535982118547,0.4572431147098541,5000,0.62961875,0.65625,5000,65.79078377571624,69.5217580030978,5000,17.344277543698414,0.0,5000,97.3496713399464,99.7958524770326,5000,30.134761291800853,23.38020149300054,5000,1.8040405127763748,1.803428828716278,5000,0.2176125,0.15625,5000,0.2115875,0.140625,5000,29.511293966488868,31.866873941403437,5000,0.0234,0.0,5000,97.74554061136192,99.77499957730996,4928,0.5841,1.0,5000,0.6794202403333346,0.5985926642947794,5000,70.91794271242428,74.5817298324543,5000,92.54828125,99.21875,5000,84.93125,96.875,5000,78.5509375,87.5,5000,95.19875,100.0,5000,63.0496875,64.0625,5000,0.4419354959845543,0.4068790376186371,5000,0.1333540582329034,0.1025267615914344,5000,0.6789035293519496,0.6830363273620605,5000,-0.0487617994070053,-0.0332667976617813,5000,0.8216131510138511,0.7962692379951477,5000
