checkpoint_id,train_step,sha256,historical_pdms_points,historical_gain_over_sft_points,NC,DAC,TTC,EP,historical_source_path,historical_object_path,current_indexed_entity_exists
step_00012000,12000,dd9d1866d5e4a79bb023175ab539d4ab58b2a3055060cb9dfa8f963986ace90e,90.20206403204796,2.529625915778894,0.9784148953699127,0.9691052891744933,0.9398582962596803,0.8739733620971364,/mnt/project/VLA-AD/outputs/psi_drive_stage3_sr_pgrpo_epoch011_b2acc4_20e_20260627T135941Z/checkpoints/raw/step_00012000.ckpt,/mnt/project/VLA-AD/outputs/psi_drive_stage3_sr_pgrpo_epoch011_b2acc4_20e_20260627T135941Z/checkpoint_store/objects/dd9d1866d5e4a79bb023175ab539d4ab58b2a3055060cb9dfa8f963986ace90e.ckpt,False
step_00012300,12300,5725647492c3d869e713c70695b2090b9e1b037216cba4653bb34f586bdcd3bc,89.78983552555748,2.117397409288415,0.9794447190640962,0.9651507661888284,0.944142362827484,0.8647220859146325,/mnt/project/VLA-AD/outputs/psi_drive_stage3_sr_pgrpo_epoch011_b2acc4_20e_20260627T135941Z/checkpoints/raw/step_00012300.ckpt,/mnt/project/VLA-AD/outputs/psi_drive_stage3_sr_pgrpo_epoch011_b2acc4_20e_20260627T135941Z/checkpoint_store/objects/5725647492c3d869e713c70695b2090b9e1b037216cba4653bb34f586bdcd3bc.ckpt,False
step_00012600,12600,79f84dd013d290ac63b8d964899910cdb975de1ea474aab0925b9e5614ebebcd,89.45908164729516,1.786643531026101,0.9748723018619212,0.9617729444719064,0.9368100181248971,0.8709175257441544,/mnt/project/VLA-AD/outputs/psi_drive_stage3_sr_pgrpo_epoch011_b2acc4_20e_20260627T135941Z/checkpoints/raw/step_00012600.ckpt,/mnt/project/VLA-AD/outputs/psi_drive_stage3_sr_pgrpo_epoch011_b2acc4_20e_20260627T135941Z/checkpoint_store/objects/79f84dd013d290ac63b8d964899910cdb975de1ea474aab0925b9e5614ebebcd.ckpt,False
step_00012900,12900,042c32f3e987ccbfc04ef163a1c11f36ac367c880c9a93070ae4f359b08094a0,89.52154622542025,1.8491081091511887,0.9734305486900643,0.9633382764870654,0.9307958477508651,0.8757651931203921,/mnt/project/VLA-AD/outputs/psi_drive_stage3_sr_pgrpo_epoch011_b2acc4_20e_20260627T135941Z/checkpoints/raw/step_00012900.ckpt,/mnt/project/VLA-AD/outputs/psi_drive_stage3_sr_pgrpo_epoch011_b2acc4_20e_20260627T135941Z/checkpoint_store/objects/042c32f3e987ccbfc04ef163a1c11f36ac367c880c9a93070ae4f359b08094a0.ckpt,False
step_00013200,13200,5027267d0722303aa02062e267fd5d11ab1405b560020dbe16e42350638e4de7,89.42794411739115,1.755506001122086,0.9743367935409458,0.9649859943977591,0.934997528423134,0.867544866153479,/mnt/project/VLA-AD/outputs/psi_drive_stage3_sr_pgrpo_epoch011_b2acc4_20e_20260627T135941Z/checkpoints/raw/step_00013200.ckpt,/mnt/project/VLA-AD/outputs/psi_drive_stage3_sr_pgrpo_epoch011_b2acc4_20e_20260627T135941Z/checkpoint_store/objects/5027267d0722303aa02062e267fd5d11ab1405b560020dbe16e42350638e4de7.ckpt,False
step_00013500,13500,dc8269cd39363c075d26438d08c209d53828bf19e228f1052f1517f941e4ccdf,89.93020098447188,2.2577628682028177,0.9777146152578678,0.9625968034272533,0.9405997693194925,0.8743985209763064,/mnt/project/VLA-AD/outputs/psi_drive_stage3_sr_pgrpo_epoch011_b2acc4_20e_20260627T135941Z/checkpoints/raw/step_00013500.ckpt,/mnt/project/VLA-AD/outputs/psi_drive_stage3_sr_pgrpo_epoch011_b2acc4_20e_20260627T135941Z/checkpoint_store/objects/dc8269cd39363c075d26438d08c209d53828bf19e228f1052f1517f941e4ccdf.ckpt,False
step_00013800,13800,7456bf80305bd58f1cadb18d99b49d508fb5c015910785612d5a0bab90734bc9,89.7209250076689,2.0484868913998326,0.9757373537650355,0.9683638161146811,0.9413412423793046,0.8629236355531615,/mnt/project/VLA-AD/outputs/psi_drive_stage3_sr_pgrpo_epoch011_b2acc4_20e_20260627T135941Z/checkpoints/raw/step_00013800.ckpt,/mnt/project/VLA-AD/outputs/psi_drive_stage3_sr_pgrpo_epoch011_b2acc4_20e_20260627T135941Z/checkpoint_store/objects/7456bf80305bd58f1cadb18d99b49d508fb5c015910785612d5a0bab90734bc9.ckpt,False
step_00014100,14100,f1d454a502451b851caf508be655310aad62d380722c50f86dfaad9ba03753be,90.33470896389647,2.6622708476274113,0.9763964409293129,0.9712473224583951,0.9401054539462844,0.8751439418717816,/mnt/project/VLA-AD/outputs/psi_drive_stage3_sr_pgrpo_epoch011_b2acc4_20e_20260627T135941Z/checkpoints/raw/step_00014100.ckpt,/mnt/project/VLA-AD/outputs/psi_drive_stage3_sr_pgrpo_epoch011_b2acc4_20e_20260627T135941Z/checkpoint_store/objects/f1d454a502451b851caf508be655310aad62d380722c50f86dfaad9ba03753be.ckpt,False
step_00014400,14400,7175566e6663d15c3cddfb6e4f4f5f6ecd894f18220478027a9646914245608a,88.96409159018404,1.2916534739149768,0.9727302685780195,0.9649859943977591,0.9354094579008074,0.8571848796932751,/mnt/project/VLA-AD/outputs/psi_drive_stage3_sr_pgrpo_epoch011_b2acc4_20e_20260627T135941Z/checkpoints/raw/step_00014400.ckpt,/mnt/project/VLA-AD/outputs/psi_drive_stage3_sr_pgrpo_epoch011_b2acc4_20e_20260627T135941Z/checkpoint_store/objects/7175566e6663d15c3cddfb6e4f4f5f6ecd894f18220478027a9646914245608a.ckpt,False
step_00014700,14700,3d6596715d18501e3a87610778e7f41b784e7d1f3256222f92c177e5c5f79963,90.36183839442438,2.6894002781553183,0.976890756302521,0.9717416378316033,0.9389520514087988,0.8759448570567329,/mnt/project/VLA-AD/outputs/psi_drive_stage3_sr_pgrpo_epoch011_b2acc4_20e_20260627T135941Z/checkpoints/raw/step_00014700.ckpt,/mnt/project/VLA-AD/outputs/psi_drive_stage3_sr_pgrpo_epoch011_b2acc4_20e_20260627T135941Z/checkpoint_store/objects/3d6596715d18501e3a87610778e7f41b784e7d1f3256222f92c177e5c5f79963.ckpt,False
